,time,Xp,Acc,Vp,Pc,Pt,Pwf,PL,La,Ltt,Ltb,Fout,mga,mgtt,mgtb
0,0.0,0.0,-1.0,0.0,1.6,1.57,2.1811797638410413,1.1,2.5000011920928955,5.0,0.0,0.0,471.64475330008963,95.85337959066926,0.0
1,0.5,0.0,-2.1320930210346267,0.0,1.6005435697692456,1.5603295341452228,2.15514428442367,1.1,-0.7635143997104378,5.0,0.0,1101.0136312327006,472.24666067794334,95.3501676629731,0.0
2,1.0,0.0,-4.784257963093241,0.0,1.600321097787427,1.5549378635760476,2.1710734991966985,1.1,1.2175441708264934,5.0,0.0,1090.867667646452,471.9451841757095,94.85159288939542,0.0
3,1.5,0.0,-1.1966226048046753,0.0,1.6006716582456402,1.5498472204466327,2.1619832189447568,1.1,0.004239050260074699,5.0,0.0,1081.2932103019803,472.1914313782884,94.3573940663058,0.0
4,2.0,0.0,-1.3028325111956072,0.0,1.6005882904266644,1.5445515803762397,2.167206223382513,1.1,0.6965798708271345,5.0,0.0,1071.3381055456102,472.10995395545393,93.86774516640766,0.0
5,2.5,0.1780295513936796,0.7121182055747184,0.3560591027873592,1.600721141082957,1.539280320810312,2.16375066584606,1.1,0.26196970075425935,5.0,0.1780295513936796,1061.433511017382,472.21554598000654,93.38262310429263,0.0
6,3.0,0.6528017373478154,1.186970538241825,0.9495443719082717,1.600721141082957,1.5340735721047314,2.165119334511026,1.1,0.42610817469629475,5.0,0.6528017373478155,1051.6544122776431,472.207582618646,92.90197052283467,0.0
7,3.5,1.6083213333182527,1.9229896400652056,1.9110391919408745,1.600795791086629,1.528959295011268,2.162724109680052,1.1,0.12223407424516552,5.0,1.6083213333182529,1042.0528336320078,472.2626923058673,92.42570628749898,0.0
8,4.0,2.8819971116506333,1.2726247294477737,2.5473515566647613,1.6008045486129652,1.5239807736880593,2.162069566371387,1.1,0.03844243647891781,5.0,2.8819971116506333,1032.7094939042431,472.26859403522127,91.95371237167811,0.0
9,4.5,4.27200844333892,0.46534221342362336,2.780022663376573,1.6008045486129652,1.5190995507233624,2.1617490141148075,1.1,0.0,5.0,3.305984621313752,1023.5517042306,472.29696641963176,91.48590397079037,0.000286589741520054
